depth2,depth3,polywidth2,polywidth3,resonance2,resonance3,q_factor2,q_factor3
2,3,0.1,0.1,395.9077,333.8078,13.96592,13.75952
2,3,0.2,0.2,562.6688,473.1765,19.84853,19.50429
2,3,0.3,0.3,692.598,581.4116,24.43187,23.96572
2,3,0.4,0.4,803.5909,672.9459,28.34722,27.73876
2,3,0.5,0.5,902.8421,754.8675,31.84838,31.11556
2,3,0.6,0.6,993.6204,828.9039,35.05064,34.16733
2,3,0.7,0.7,1077.9628,897.4854,38.025881,36.99425
2,3,0.8,0.8,1157.945,962.6967,40.847306,39.68226
2,3,0.9,0.9,1233.3747,1023.6039,43.50814,42.192845
2,3,1,1,1306.1238,1081.6432,46.074416,44.58522
